isbn,publication_year,category,book_name,author,price_in_euros,publisher,published_country,language,no_of_pages
9780241508695,2022,artanddesign,apollo remastered,Andy Saunders,49.99,Penguin Books Ltd,England,English,456.0
9781849947879,2022,artanddesign,wild textiles,Alice Fox,15.67,Batsford Books,England,English,128.0
9781472223845,2022,artanddesign,the marriage portrait,Maggie OFarrell,16.99,Headline Publishing Group,England,English,438.0
9781855147430,2022,artanddesign,elizabeth ii,Gallery National Portrait,14.95,National Portrait Gallery,England,English,152.0
9780500296608,2022,artanddesign,spring cannot be cancelled,David Hockney,12.99,Thames and Hudson Ltd,England,English,280.0
9781529151145,2022,artanddesign,the story of art without men,Hessel Katy,26.49,Cornerstone,England,English,520.0
9781786784285,2022,artanddesign,england on fire,Ellcock Stephen,18.99,Watkins Media Limited,England,English,256.0
9781529157529,2022,artanddesign,creativity,Cleese John,6.38,Cornerstone,United Kingdom,English,103.0
9781788541947,2022,artanddesign,heaven on earth,Emma J Wells,24.75,Head of Zeus,England,English,512.0
9781644230695,2022,artanddesign,the 5 lives of hilma af klint,Julia Voss,18.99,David Zwirner Books,New York (State),English,120.0
9780500518649,2022,artanddesign,the real and the romantic,Frances Spalding,28.99,Thames and Hudson Ltd,England,English,384.0
9780500296455,2022,artanddesign,the wild world of barney bubbles,Gorman Paul,22.2,Thames and Hudson Ltd,England,English,224.0
9780500025208,2022,artanddesign,affinities,Adam Green,34.99,Thames and Hudson Ltd,England,English,368.0
9780500480649,2022,artanddesign,india,Blurton Richard T,22.2,Thames and Hudson Ltd,England,English,320.0
9780500023297,2022,artanddesign,the emperors of byzantium,Kevin Lygo,18.99,Thames and Hudson Ltd,England,English,336.0
9780500025413,2022,artanddesign,a world history of women photographers,Lebart Luce,44.47,Thames and Hudson Ltd,England,English,504.0
9781849768214,2022,artanddesign,walter sickert,Chambers Emma,28.99,Tate Publishing,England,English,239.0
9781588397546,2022,artanddesign,george grosz in berlin,Rewald Sabine,25.99,Yale University Press,New York (State),English,179.0
9781909932517,2022,artanddesign,piet mondrian,Hans Janssen,27.28,Ridinghouse,England,English,540.0
9781800181557,2022,artanddesign,"feather, leaf, bark & stone",Jackie Morris,15.99,Unbound,England,English,160.0
9780241366356,2019,artanddesign,the beauty of everyday things,Muneyoshi Yanagi,9.26,Penguin Books Ltd,England,English,346.0
9780857527844,2022,artanddesign,bryant & may's peculiar london,Christopher Fowler,15.31,Transworld,England,English,400.0
9780714151304,2022,artanddesign,feminine power,Belinda Crerar,22.2,British Museum Press,England,English,272.0
